Section_ID,Course_Code,Course_Name,Activity_Type,Day,Start_Time,End_Time,Room,Instructor,Student_Count
S3_CNC_L3,CSC113,Compiler Design,Lecture and Lab,Thursday,10:45 AM,12:15 PM,R105,Prof. Mostafa Soliman,20
S4_AID_L4,AID413,Data Security,Lecture and Lab,Thursday,10:45 AM,12:15 PM,R109,Dr. Ahmed Arafa,20
S6_L2,CNC111,Networks and Web Programming,Lecture and Lab,Thursday,10:45 AM,12:15 PM,R104,Dr. Nadia Fawzy,20
S8_L1,ECE111,Digital Logic Design,Lecture and Lab,Thursday,10:45 AM,12:15 PM,R107,Prof. Ahmed Allam,20
S9_L1,LRA103,Fine Arts Appreciation-Drawing and Paintings,Lecture,Thursday,10:45 AM,12:15 PM,R101,Dr. Amal Gomaa,20
S10_L1,LRA101,Japanese Culture,Lecture,Thursday,12:30 PM,2:00 PM,R101,Dr. Sherine Elmotasem,20
S11_L1,ECE111,Digital Logic Design,Lecture and Lab,Thursday,12:30 PM,2:00 PM,R107,Prof. Ahmed Allam,20
S1_CNC_L4,MTH121,Mathematics (2) (Calculus + Linear Algebra),Lecture and Lab,Thursday,12:30 PM,2:00 PM,R109,Dr. Ayman Arafa,20
S2_CNC_L4,PHY123,Physics 2,Lecture and Lab,Thursday,12:30 PM,2:00 PM,R106,Eng. Laila Ibrahim,20
S2_L1,LRA401,Japanese Language (1),Lecture,Thursday,12:30 PM,2:00 PM,R102,Dr. Kenji Tanaka,20
S3_AID_L3,AID311,Mathematics of Data Science,Lecture and Lab,Thursday,12:30 PM,2:00 PM,R108,Dr. Ahmed Anter,20
S4_CNC_L3,CSE423,Computer Graphics and Visualization,Lecture and Lab,Thursday,12:30 PM,2:00 PM,R105,Dr. Hataba,20
S6_L2,MTH212,Probability and Statistics,Lecture and Lab,Thursday,12:30 PM,2:00 PM,R104,Dr. Karim Hamed,20
S9_L1,PHY113,Physics 1,Lecture and Lab,Thursday,12:30 PM,2:00 PM,R103,Dr. Adel Fathy,20
S10_L1,LRA103,Fine Arts Appreciation-Drawing and Paintings,Lecture,Thursday,2:15 PM,3:45 PM,R101,Dr. Amal Gomaa,20
S11_L1,PHY113,Physics 1,Lecture and Lab,Thursday,2:15 PM,3:45 PM,R103,Dr. Adel Fathy,20
S12_L1,ECE111,Digital Logic Design,Lecture and Lab,Thursday,2:15 PM,3:45 PM,R107,Prof. Ahmed Allam,20
S2_CNC_L4,ACM323,Applied Numerical Methods,Lecture and Lab,Thursday,2:15 PM,3:45 PM,R106,Dr. Ali Kandil,20
S3_CNC_L4,MTH121,Mathematics (2) (Calculus + Linear Algebra),Lecture and Lab,Thursday,2:15 PM,3:45 PM,R109,Eng. Tarek Salah,20
S3_L1,LRA401,Japanese Language (1),Lecture,Thursday,2:15 PM,3:45 PM,R102,Dr. Kenji Tanaka,20
S4_AID_L3,AID312,Intelligent Systems,Lecture and Lab,Thursday,2:15 PM,3:45 PM,R108,Dr. Ahmed Bayumi,20
S4_CNC_L3,CSC113,Compiler Design,Lecture and Lab,Thursday,2:15 PM,3:45 PM,R105,Prof. Mostafa Soliman,20
S7_L2,ACM215,Ordinary Differential Equations,Lecture and Lab,Thursday,2:15 PM,3:45 PM,R104,Dr. Ayman Arafa,20
S1_CNC_L4,ACM323,Applied Numerical Methods,Lecture and Lab,Thursday,9:00 AM,10:30 AM,R106,Dr. Ali Kandil,20
S3_AID_L3,AID312,Intelligent Systems,Lecture and Lab,Thursday,9:00 AM,10:30 AM,R108,Dr. Ahmed Bayumi,20
S3_AID_L4,AID413,Data Security,Lecture and Lab,Thursday,9:00 AM,10:30 AM,R109,Dr. Ahmed Arafa,20
S3_CNC_L3,CSE423,Computer Graphics and Visualization,Lecture and Lab,Thursday,9:00 AM,10:30 AM,R105,Dr. Hataba,20
S4_CNC_L4,LRA106,Physical Education,Lecture,Thursday,9:00 AM,10:30 AM,R102,Dr. Adel Fathy,20
S6_L2,ACM215,Ordinary Differential Equations,Lecture and Lab,Thursday,9:00 AM,10:30 AM,R104,Dr. Ayman Arafa,20
S7_L1,ECE111,Digital Logic Design,Lecture and Lab,Thursday,9:00 AM,10:30 AM,R107,Prof. Ahmed Allam,20
S8_L1,PHY113,Physics 1,Lecture and Lab,Thursday,9:00 AM,10:30 AM,R103,Eng. Laila Ibrahim,20
S9_L1,LRA101,Japanese Culture,Lecture,Thursday,9:00 AM,10:30 AM,R101,Dr. Sherine Elmotasem,20
